Id;Name
1675;Горбаневский М.В., Дукельский В.Ю.
1335;Брунштейн Б.Е., Дементьев В.И.
1662;Товстуха П.П., Португальский Р.М.
1609;Зайцев Е.Б., Тамгинский И.И.
320;Афанасьева В.А., Заиков Г.Е.
1661;Блоч Д., Фитцджеральд П.
1315;Бромлей Г.Ф., Кучеренко С.П.
1218;Войнич А., Херцег Э.
2045;Алексеев С.В., Инков А.А.
1263;Берлина И.К., Игошина Е.Д., Помпа М.Г., Старшинова Е.К.
1201;Картужанский А.Л., Красный-Адмони Л.В.
322;Заславский А.А., Протасов В.Ю., Шарыгин Д.И.
574;Поляков Ю.А., Полетаев В.Е., Самсонов А.М., Корнаковский И.Л.
1262;Сепп Е.К., Цукер М.Б., Шмидт Е.В.
1254;Виленкин Н.Я., Литвиненко В.Н., Мордкович А.Г.
1496;Мальчевский А.С., Пукинский Ю.Б.
1860;Казарин А.А., Курдюмов Н.И.
1195;Варенышев Б.В., Дубинин К.Н., Мудрагей И.П.
25;Янушкявичюс Р.В., Янушкявичюс О.Л.
296;Беззубцев-Кондаков А., Дроканов И.
1798;Солдатов А., Бороган И.
15;Буриков В.Г., Власов В.Н.
343;Ведерников Ю.А., Худяков Ю.С., Омелаев А.И.
763;Долгов В.В., Савинов М.А.
1844;Лиддел Гарт, Б.
824;Дежкин В., Фетисов Т.
1417;Лапидус Б.А., Неусихина М.М., Шейдина И.Л.
1004;Артемьева А.Г., Максаковский В.П., Раковский С.Н., Смидович И.Н., Соловьев М.Г.
1804;Бородовский А.П., Горохов С.В.
686;Беляев А.А., Белых А.М., Гончарова Л.А.
2075;Прудникова Е.А., Чигирин И.И.
503;Буренин Н.Л., Котова Г.Н.
81;Маркарьян С.Б., Молодякова Э.В.
1523;Белов М.И., Овсянников О.В., Старков В.Ф.
1956;Пилипенко А.Т., Починок В.Я., Середа И.П., Шевченко Ф.Д.
1143;Смирнова Э.С., Лаурина В.К., Гордиенко Э.А.
941;Ухов В.В., Лихолитов В.С.
540;Плугин В., Богданов А., Шеремет В.
1474;Всеволодов И., Никифоров А.
1338;Барштейн Р.С., Кирилович В.И., Носовский Ю.Е.
1540;Магидович И.П., Магидович В.И.
764;Мелтон К., Уоллес Р.
894;Гололобов С.М., Шевчук Г.Н.
207;Манеров В.Б., Каверинский В.С., Ермилов С.П., Прудниченко Ф.И.
532;Михеев А.М., Ревякина Н.Т.
537;Мальчевский А.С., Голованова Э.Н., Пукинская Ю.Б.
1317;Беляева Л.С., Бушков В.И., Кудрявцев И.И.
1319;Пасет Б.В., Воробьева В.Я.
1785;Грибков И.В., Жуков Д.А., Ковтун И.И.
1054;Гуро И., Андреев А.
1358;Бахвалов С.В., Бабушкин Л.И., Иваницкая В.П.
1306;Тихонов А.В., Моренков Э.Д., Фокин С.Ю.
1408;Гелуев И.Н., Сагалаев А.М., Соловьев А.И.
1655;Кудрявцев А.И., Шкода Г.Н.
24;Чиа Мантэк, Вэй В.Ю.
459;Фетинов Н.П., Шехобалов И.В.
382;Жданович Б.Д., Жданович Л.И.
1882;Азясский Н.Ф., Долгий М.С., Князьков А.С., Пережогин В.А., Чернов Ю.И.
1952;Барков С.А., Ронжина Н.М.
1285;Доватур А.И., Калистов Д.П., Шишова И.А.
577;Ненарокомова И.С., Сизов Е.С.
